gene,mean_in,mean_out,mean_diff,p_fisher,dep_frac_in,dep_frac_out,t_stat,p_ttest,p_wilcoxon
SMARCD1,-0.8165117961118612,-0.20796046800610288,-0.6085513281057583,1.6922501672466993e-08,0.875,0.09395973154362416,-8.128915603311365,1.9621800071039503e-12,3.7499645095133474e-05
ZMYM3,-0.6264752443040629,-0.1392719883390939,-0.48720325596496894,2.2554670364087765e-06,0.5625,0.028523489932885907,-8.490704775427542,1.371988858289458e-13,4.07554743661775e-05
NABP2,-0.6349103973119832,-0.15067886483865076,-0.4842315324733324,2.2554670364087765e-06,0.5,0.016778523489932886,-10.755569221193902,7.303024045272882e-22,0.0001448837765246695
BRAP,-0.6225854499345493,-0.23195108452112317,-0.39063436541342617,5.973238491426022e-05,0.6875,0.08892617449664429,-5.893171770769401,2.0556249288880023e-06,0.0006981560963711221
PPM1G,-0.8507915280332421,-0.2554074873045842,-0.5953840407286579,0.00040899612866704806,0.625,0.08221476510067115,-9.003523396526756,3.830502293811512e-15,0.0001850112409328817
PPM1D,-0.7562384275939595,-0.2444651542241158,-0.5117732733698437,0.0005531632820052004,0.6875,0.11577181208053691,-6.52035403973572,7.290232665480692e-08,0.00044678271695416396
MIB1,-0.7075990962512357,-0.21585852582165926,-0.4917405704295765,0.002790685485746523,0.625,0.10570469798657718,-6.11430957080638,5.735123837409254e-07,0.00044678271695416396
FAM83E,-0.4809603523392986,-0.23078747910441075,-0.2501728732348879,0.004454349436766517,0.3125,0.01174496644295302,-7.059836724643413,3.2320898426377237e-09,0.0028742829700422424
NXT1,-1.024100098584969,-0.6100468105062219,-0.4140532880787472,0.004454349436766517,0.9375,0.3540268456375839,-2.8948935331375454,0.05051363412938271,0.006140091160899844
PHIP,-0.43968778431821387,-0.1533942474519444,-0.28629353686626946,0.005428240111351486,0.375,0.025167785234899327,-5.865572151382736,2.3122011897770672e-06,0.021708530669062705
MDM2,-1.1595984260205565,-0.6399023312700794,-0.5196960947504771,0.005505530668024837,0.875,0.30201342281879195,-3.6998905178063377,0.008046631257283632,0.009722347085684993
SEPHS1,-0.5351359161100478,-0.27430101383809946,-0.2608349022719484,0.005505530668024837,0.5,0.06543624161073826,-4.9207610025909805,0.00017649422471621444,0.007070895807407827
UBE2Q1,-0.5226507202147481,-0.2793870392383567,-0.2432636809763914,0.005505530668024837,0.5625,0.09144295302013423,-3.676930223155485,0.008344641243377637,0.04564076450668471
UBE2A,-0.49161088243765816,-0.15723122646299692,-0.33437965597466124,0.0107844425268171,0.4375,0.04949664429530201,-5.020370190955313,0.00012141987413288839,0.011309499123575158
CDK5RAP2,-0.38375976622991054,-0.1504038965628582,-0.23335586966705232,0.014122652113281602,0.3125,0.01761744966442953,-5.429678847470976,1.887149673870696e-05,0.006636574098672276
EZH2,-0.5245083231833638,-0.042616073116639265,-0.48189225006672454,0.022149643681072806,0.375,0.03607382550335571,-7.46286269574381,2.4800922352235254e-10,4.07554743661775e-05
TRAPPC6A,-0.29090021213754746,-0.19272407010181547,-0.098176142035732,0.027914885210448413,0.25,0.009228187919463088,-2.674833823840203,0.07515402079621991,0.3550790888840203
EED,-0.7549279470817305,-0.27019555903538095,-0.48473238804634955,0.030044736837154386,0.625,0.15604026845637584,-5.783894988119068,3.565427480755439e-06,0.0001850112409328817
XRCC4,-0.4852331644469069,-0.26316571311872516,-0.22206745132818173,0.030044736837154386,0.375,0.040268456375838924,-5.072039799768585,9.751681949510983e-05,0.007252970056757618
BLTP2,-0.5865550223788907,-0.34951523124258416,-0.23703979113630652,0.030044736837154386,0.5625,0.11996644295302013,-4.1852875981650115,0.0020696720313775198,0.035302241898322886
PHF23,-0.45915409058349116,-0.22263109651447135,-0.2365229940690198,0.030044736837154386,0.375,0.03942953020134228,-4.538654221807062,0.0006669198571472952,0.022932797619444844
MTG2,-0.833039678182585,-0.512133737768909,-0.3209059404136759,0.03486388888571564,0.875,0.36325503355704697,-4.27043240715272,0.0016117780493245704,0.0050505859866619126
HMCES,-0.38561906703578896,-0.18126215253162933,-0.20435691450415963,0.04515141910025216,0.25,0.01174496644295302,-5.036571995114072,0.00011431861471183937,0.006792623888486616
QRICH1,-0.7239944690887339,-0.3377424300205283,-0.3862520390682056,0.04586552934914602,0.5,0.09731543624161074,-7.356369243126018,4.581960810510935e-10,4.292863184315618e-05
BICD2,-0.3158278772749028,-0.10710253021452666,-0.20872534706037615,0.04586552934914602,0.1875,0.003355704697986577,-5.560037394188362,1.1319405047387628e-05,0.005374818310944424
BID,-0.1642738904645041,0.01595797695754618,-0.18023186742205027,0.04586552934914602,0.1875,0.003355704697986577,-3.2893091707562268,0.022597056720289676,0.10458286900179282
KAT2A,-0.494866920775782,-0.23091343479805315,-0.26395348597772883,0.04771240074577262,0.375,0.04614093959731544,-4.845050616819297,0.0002269987912144366,0.006586393632122013
IMPDH2,-0.8997281717354257,-0.5485546511922207,-0.35117352054320505,0.0528761327537143,0.875,0.3825503355704698,-3.9241110527148932,0.004256396006754354,0.006602522585790893
ACO2,-1.0283135145793834,-0.7749346588954741,-0.2533788556839093,0.06114867581657183,1.0,0.5578859060402684,-1.919759220134139,0.24004358207446244,0.10183854642463179
KIF18B,-0.9072767488815066,-0.5022159556487417,-0.4050607932327649,0.061959346689297576,0.75,0.27181208053691275,-4.214068038567381,0.0019093792176331826,0.0036005530940969306
ZIC2,-0.16331384261796478,0.009149150923373392,-0.17246299354133818,0.061959346689297576,0.1875,0.0041946308724832215,-4.308632501375953,0.0014350659259231057,0.35389884365475316
MET,-0.2262553261218023,-0.034788180327778154,-0.19146714579402413,0.061959346689297576,0.25,0.014261744966442953,-4.0677294190115045,0.0028159224288352093,0.2591630909349613
