gene,pearson_r,p_value
H2BC12,0.3850299397997892,0.0009973844962770804
ZNF595,0.3710576429598184,0.0011353514554285668
GTPBP6,0.36140148482205103,0.0015581657356111512
C4orf54,0.36056783336330706,0.0017264564508155955
C13orf42,0.3443948719165574,0.003506958038092072
CCDC57,0.3431618033548829,0.0022481112268763546
TMEM272,0.32889032512893035,0.005436933231650101
FIGNL2,0.31320391182944274,0.006584860401756389
TMEM132C,0.3022419896099417,0.0075496294740717736
SLC35F4,0.2920926817467981,0.009947279367652469
C3orf85,0.2875041712297926,0.015808281831010417
SPEM3,0.2860345813149531,0.016375722462179006
HIGD2B,0.28531604131351757,0.01441478880443355
C17orf100,0.2847793075506538,0.012064002632513372
GSTT4,0.28253081303922817,0.017799617465246453
IL3RA,0.2782155931131729,0.01638835930588789
MINDY4B,0.2594255470758585,0.030105006226187322
PRAC2,0.24905586507808905,0.0323687231654786
TRIM48,0.24623928998504274,0.03444277869120256
RLF,0.24088588581594003,2.0853360592377293e-17
FBRS,0.23749958841464375,0.03754186904067445
HAPSTR2,0.23507059151556403,0.04379231911222041
DHRSX,0.23441004522487044,0.04440531782680992
SMIM28,0.230915366462871,0.05444614173553759
SLC25A6,0.2304388044400619,0.04824182499810292
CCDC187,0.22515457003668113,0.053765347194233114
DCAF7,0.2211973055941943,0.05823169914104626
TEX48,0.21779369066416146,0.06231041018193607
MEIOSIN,0.2143574082552863,0.07476125025921827
TEX53,0.21400765154804968,0.07524805078414334
CFAP97D2,0.21126525958002518,0.07915323923972299
ENO4,0.20901230624476813,0.06810934264940914
DOC2B,0.20534893634510676,0.07319669723612576
EPSTI1,0.20525673673918282,5.872600699183004e-13
OR10G6,0.20422715324122998,0.08307467530168221
JRK,0.19933356692970575,0.08862937397634589
PRM3,0.19848863537511494,0.09001705913073363
SLC35C1,0.1972756039495635,4.594905799331578e-12
RHBDL2,0.19428280619208693,9.722367024145468e-12
SMARCD1,0.19422205964880887,9.870183184507574e-12
TENM2,0.19036216052876023,0.0972567528755863
DCPS,0.18983638365785904,2.896207798089241e-11
SH3RF3,0.1888953385242797,0.10700066830557654
CROCC2,0.18878412297755628,0.11754737665063601
VPS11,0.18814628318208032,0.1084248310042763
GJB1,0.18772934145067846,4.814050256107343e-11
MRPS24,0.18730001593901205,5.335369362838789e-11
